64.9.224.70	vpn.google.com
216.58.211.131	www.google.ru
216.58.207.206	alerts.google.com
216.58.211.142	keep.google.com
216.58.207.206	translate.google.com
216.58.207.196	scholar.google.ru
216.58.207.196	download.google.com
172.217.21.142	code.google.com
216.58.207.206	images.google.ru
108.177.14.194	docs.google.com
216.58.207.196	picasa.google.ru
216.58.207.196	blogsearch.google.com
216.58.211.133	mail.google.com
216.58.207.206	ads.google.com
216.58.207.206	web.google.com
172.217.20.35	news.google.ru
216.58.211.131	local.google.ru
216.58.211.142	calendar.google.com
64.233.162.129	corp.google.com
172.217.21.174	photos.google.com
216.58.211.14	play.google.com
216.239.36.10	ns3.google.com
173.194.222.199	sites.google.com
172.217.21.174	wave.google.com
216.239.32.10	ns.google.com
216.58.207.206	developers.google.com
216.58.207.206	hangouts.google.com
108.177.14.194	drive.google.com
216.239.32.10	ns1.google.com
216.239.34.10	ns2.google.com
172.217.21.132	www.google.com
	ipv6.google.com
216.58.211.11	mobile.google.com
216.58.207.238	home.google.com
216.58.207.206	answers.google.com
216.58.211.14	local.google.com
216.58.207.206	images.google.com
172.217.20.46	news.google.com
216.58.207.206	appengine.google.com
216.58.207.196	ap.google.com
216.58.207.206	apps.google.com
216.58.207.206	help.google.com
216.239.32.58	ldap.google.com
172.217.10.238	books.google.com
216.239.34.22	whois.google.com
172.217.20.47	upload.google.com
216.58.207.206	chat.google.com
172.217.20.41	blog.google.com
216.58.207.196	mobile.google.ru
216.58.207.227	id.google.com
8.8.8.8	dns.google.com
216.58.220.195	id.google.ru
173.194.222.195	groups.google.com
172.217.10.238	books.google.ru
216.58.207.206	usgov.google.com
216.58.207.238	admin.google.com
64.233.162.196	plus.google.com
